name,latitude,longitude
EAST COAST PARK,1.31326624037145,103.924568894436
WEST COAST PARK,1.29671519967862,103.762725076032
SENTOSA,1.24981227625908,103.829490666279
CHANGI BEACH CLUB,1.39046224455233,103.975283854916
PASIR RIS BEACH,1.38792722885382,103.941992893826
MY WATERWAY@PUNGGOL,1.40736854414334,103.908051664286
MARINA BAY SANDS,1.28399410139205,103.859450636919
LABRADOR NATURE PARK,1.26383185104025,103.80392982751
SEMBAWANG HOT SPRING PARK,1.43430995368439,103.822607665415
WOODLANDS WATERFRONT PARK,1.45380370281178,103.781617546
East Coast (Bedok),1.301,103.937
East Coast (Marine Parade),1.302,103.91
South Coast (Harbourfront),1.265,103.82
West Coast (Clementi),1.29,103.756
North Coast (Yishun),1.425,103.84
North Coast (Woodlands),1.448,103.77
Northeast Coast (Punggol),1.415,103.913
Northwest Coast (Lim Chu Kang),1.43,103.71
Changi Coast,1.338,103.983
