name,latitude,longitude
BRIGHT HILL COLUMBARIUM,1.36051993644731,103.836519069051
BRIGHT HILL COLUMBARIUM/CREMATORIUM,1.35955826705027,103.835971351197
BUDDHIST COLUMBARIUM,1.32177843157104,103.914277698874
CHOA CHU KANG COLUMBARIUM,1.3736468983422,103.687204118688
CHOA CHU KANG COLUMBARIUM PUMP SUMP,1.37429100034168,103.686907999955
CHRISTIAN COLUMBARIUM (THE GARDEN OF REMEMBRANCE),1.37439537133507,103.692034107482
MANDAI CREMATORIUM AND COLUMBARIUM,1.41374579512129,103.809660275992
FONG YUN TAI ASSOCIATION'S COLUMBARIUM,1.32801468561574,103.789455820306
SAINT TERESA'S COLUMBARIUM,1.27330582060851,103.828173532065
YISHUN COLUMBARIUM,1.43496753138482,103.833696079049
CEMETERY CHAPEL,1.3725934646804,103.695080292638
MEMORIAL TO JAMES BROOKE NAPIER,1.2946996336104,103.84716839633
