name,latitude,longitude
FAIRPRICE HUB,1.32561767765205,103.678409741897
COLD STORAGE JELITA SHOPPING CENTRE (CAR PARK ENTRANCE),1.31762716107946,103.78569378102
SUZUE - PSA COLD STORAGE,1.27189633080251,103.833208295663
GIANT,1.37210169874539,103.931999887543
GIANT PANDA FOREST,1.40365248268001,103.792498795944
NTUC ELDERCARE CENTRE SILVER CIRCLE (SERANGOON CENTRAL),1.35246731376429,103.87210276228
NTUC HEALTH (CHAI CHEE),1.32805675950308,103.92165835022
NTUC HEALTH (GEYLANG EAST),1.31952569099753,103.887743408202
NTUC HEALTH (JURONG WEST),1.3409838595441,103.691488781197
NTUC HEALTH (PASIR RIS),1.36996093238292,103.964336919348
NTUC HEALTH (TAMPINES),1.34965003102913,103.95141650923
NTUC TRADE UNION HOUSE,1.29673240117682,103.851501214556
NTUC CLUB,1.37656567661723,103.95522291538
NTUC ELDERCARE CENTRE SILVER CIRCLE (DAKOTA CRESENT),1.30810201880467,103.889006869297
NTUC ELDERCARE CENTRE SILVER CIRCLE (FENGSHAN),1.33254608904519,103.940347580498
NTUC ELDERCARE CENTRE SILVER CIRCLE (JURONG CENTRAL),1.35336452654527,103.722562360938
NTUC ELDERCARE CENTRE SILVER CIRCLE (MARSILING),1.43397247465557,103.777516916131
NTUC ELDERCARE CENTRE SILVER CIRCLE (PASIR RIS),1.36766703141414,103.955940997009
NTUC ELDERCARE CENTRE SILVER CIRCLE (PUNGGOL SOUTH),1.37860243503784,103.888124731018
NTUC ELDERCARE CENTRE SILVER CIRCLE (TAMAN JURONG),1.3395790060402,103.719356718857
NTUC ELDERCARE CENTRE SILVER CIRCLE (TOA PAYOH),1.33172599846081,103.842799470193
NTUC HEALTH (JURONG SPRING),1.34805416411481,103.718222317106
